time,open,high,low,close,Plot,Plot,Plot,Plot
2023-11-27,47.8,48.53,47.652,48.242,NaN,NaN,NaN,NaN
2023-11-28,48.236,48.3229,47.473,47.821,NaN,NaN,NaN,NaN
2023-11-29,48.379,48.762,47.86,48.14,NaN,NaN,NaN,NaN
2023-11-30,48.024,48.11,46.422,46.77,NaN,NaN,NaN,NaN
2023-12-01,46.525,47.2,46.187,46.765,NaN,NaN,NaN,NaN
2023-12-04,46.077,46.077,45.01,45.51,NaN,NaN,NaN,NaN
2023-12-05,45.466,46.6,45.271,46.566,NaN,NaN,NaN,NaN
2023-12-06,47.2145,47.387,45.412,45.503,NaN,NaN,NaN,NaN
2023-12-07,45.7,46.629,45.604,46.596,NaN,NaN,NaN,NaN
2023-12-08,46.595,47.74085,46.55,47.506,NaN,NaN,NaN,NaN
2023-12-11,47.491,47.531,45.83,46.627,NaN,NaN,NaN,NaN
2023-12-12,46.046,47.666,46.046,47.657,NaN,NaN,NaN,NaN
2023-12-13,47.629,48.594,47.608,48.088,NaN,NaN,NaN,NaN
2023-12-14,48.39,48.67,47.422,48.35,NaN,NaN,NaN,NaN
2023-12-15,48.194,49.404,48.12,48.89,NaN,NaN,NaN,NaN
2023-12-18,49.4,50.43299,49.15,50.077,NaN,NaN,NaN,NaN
2023-12-19,49.424,49.7,48.895,49.604,NaN,NaN,NaN,NaN
2023-12-20,49.655,49.999,48.098,48.111,NaN,NaN,NaN,NaN
2023-12-21,48.811,49.095,48.419,48.99,NaN,NaN,NaN,NaN
2023-12-22,49.195,49.383,48.467,48.83,NaN,NaN,NaN,NaN
2023-12-26,48.968,49.6,48.96,49.279,NaN,NaN,NaN,NaN
2023-12-27,49.511,49.68,49.085,49.417,NaN,NaN,NaN,NaN
2023-12-28,49.643,49.88399,49.412,49.522,NaN,NaN,NaN,NaN
2023-12-29,49.813,49.997,48.751,49.522,NaN,NaN,NaN,NaN
2024-01-02,49.244,49.295,47.595,48.168,NaN,NaN,NaN,NaN
2024-01-03,47.485,48.1841,47.32,47.569,NaN,NaN,NaN,NaN
2024-01-04,47.767,48.5,47.508,47.998,NaN,NaN,NaN,NaN
2024-01-05,48.462,49.547,48.30601,49.097,NaN,NaN,NaN,NaN
2024-01-08,49.512,52.275,49.479,52.253,NaN,NaN,NaN,NaN
2024-01-09,52.401,54.325,51.69,53.14,NaN,NaN,NaN,NaN
2024-01-10,53.616,54.6,53.489,54.35,NaN,NaN,NaN,NaN
2024-01-11,54.999,55.346,53.56,54.822,NaN,NaN,NaN,NaN
2024-01-12,54.62,54.97,54.33008,54.71,NaN,NaN,NaN,NaN
2024-01-16,55.018,56.83499,54.9,56.382,NaN,NaN,NaN,NaN
2024-01-17,56.347,56.47068,54.74,56.053,NaN,NaN,NaN,NaN
2024-01-18,57.26,57.6,56.107,57.107,NaN,NaN,NaN,NaN
2024-01-19,57.989,59.5,57.225,59.491,NaN,NaN,NaN,NaN
2024-01-22,60.049,60.331,59.07,59.654,NaN,NaN,NaN,NaN
2024-01-23,59.57,59.91,58.585,59.873,NaN,NaN,NaN,NaN
2024-01-24,60.304,62.849,59.938,61.362,NaN,NaN,NaN,NaN
2024-01-25,62.35,62.719,60.85,61.617,NaN,NaN,NaN,NaN
2024-01-26,60.96,61.783,60.573,61.031,NaN,NaN,NaN,NaN
2024-01-29,61.232,62.489,60.907,62.465,NaN,NaN,NaN,NaN
2024-01-30,62.9,63.493,62.26,62.774,NaN,NaN,NaN,NaN
