university,coord,inception,universityLabel,countryLabel
http://www.wikidata.org/entity/Q43658,Point(24.0313 49.8255),1816-01-01T00:00:00Z,Lviv University of Trade and Economics,Austria–Hungary
http://www.wikidata.org/entity/Q43658,Point(24.0313 49.8255),1816-01-01T00:00:00Z,Lviv University of Trade and Economics,Austrian Empire
http://www.wikidata.org/entity/Q43659,Point(25.330924 50.74703),1940-01-01T00:00:00Z,Lesya Ukrainka Volyn National University,Ukraine
http://www.wikidata.org/entity/Q45312,,1860-01-01T00:00:00Z,King Edward Medical University,Pakistan
http://www.wikidata.org/entity/Q45612,Point(29.73805556 -23.88611111),2005-01-01T00:00:00Z,University of Limpopo,South Africa
http://www.wikidata.org/entity/Q45817,Point(16.601414724 31.175402609),1991-01-01T00:00:00Z,Sirte University,Libya
http://www.wikidata.org/entity/Q45819,Point(15.07821104 32.37318233),1984-01-01T00:00:00Z,Misrata University,Libya
http://www.wikidata.org/entity/Q47927,Point(112.614166666 -7.9575),1964-01-01T00:00:00Z,Muhammadiyah University of Malang,Indonesia
http://www.wikidata.org/entity/Q49041,Point(-81.020556 34.010556),1870-01-01T00:00:00Z,Allen University,United States
http://www.wikidata.org/entity/Q49089,Point(-75.6860717 38.2074588),1886-01-01T00:00:00Z,University of Maryland Eastern Shore,United States
http://www.wikidata.org/entity/Q49108,Point(-71.091944444 42.359722222),1861-04-10T00:00:00Z,Massachusetts Institute of Technology,United States
http://www.wikidata.org/entity/Q49110,Point(-71.100277777 42.348888888),1869-01-01T00:00:00Z,Boston University,United States
http://www.wikidata.org/entity/Q49118,Point(-71.170361111 42.335083333),1863-01-01T00:00:00Z,Boston College,United States
http://www.wikidata.org/entity/Q49119,Point(-71.25974 42.36566),1948-10-20T00:00:00Z,Brandeis University,United States
http://www.wikidata.org/entity/Q49120,Point(-71.11982 42.406949),1852-01-01T00:00:00Z,Tufts University,United States
http://www.wikidata.org/entity/Q49167,Point(-72.655844 41.55562),1831-01-01T00:00:00Z,Wesleyan University,United States
http://www.wikidata.org/entity/Q49204,Point(-72.6375 42.3175),1871-01-01T00:00:00Z,Smith College,United States
http://www.wikidata.org/entity/Q49205,Point(-71.3075 42.2925),1870-01-01T00:00:00Z,Wellesley College,United States
http://www.wikidata.org/entity/Q49212,Point(-96.344056 30.610369),1876-01-01T00:00:00Z,Texas A&M University,United States
http://www.wikidata.org/entity/Q51841,Point(121.902 30.8731),1909-01-01T00:00:00Z,Shanghai Maritime University,People's Republic of China
http://www.wikidata.org/entity/Q53122,Point(129.07931 35.23398),1946-05-15T00:00:00Z,Pusan National University,South Korea
http://www.wikidata.org/entity/Q56148,Point(128.758055555 35.834166666),1967-01-01T00:00:00Z,Yeungnam University,South Korea
http://www.wikidata.org/entity/Q56653,Point(140.07305556 39.39333333),1999-01-01T00:00:00Z,Akita Prefectural University,Japan
